編號,答案,類近題目
2001,"📌 答案 (Answer)
A

📌 詳細解釋 第2 (Detailed Explanation Step 2)
原核細胞包括細菌與古細菌。
Prokaryotic cells include bacteria and archaea.

它們都有細胞壁與細胞膜，用於維持形狀與物質交換。
They both possess a cell wall and cell membrane, for maintaining shape and material exchange.

此外，原核細胞內沒有真正的細胞核，但有分散於細胞質中的 核糖體，負責蛋白質合成。
In addition, prokaryotic cells lack a true nucleus but contain ribosomes distributed in the cytoplasm for protein synthesis.

原核細胞不具備真核細胞的雙層膜細胞器，如葉綠體和線粒體。
Prokaryotic cells do not have double‑membrane organelles such as chloroplasts and mitochondria.

因此，選項 A（細胞壁、核糖體、細胞膜）正確。
Therefore, option A (cell wall, ribosomes, cell membrane) is correct.

📌 考試提醒 (Exam Tips)
原核細胞沒有葉綠體或線粒體。
Prokaryotic cells do not have chloroplasts or mitochondria.

若題目出現「核糖體」，請記住它是唯一普遍存在於原核與真核的細胞器。
If “ribosome” appears, remember it is the only organelle universally present in both prokaryotes and eukaryotes.

牆（細胞壁）、膜（細胞膜）、核糖體 是原核三大重點。
Wall (cell wall), membrane (cell membrane), and ribosome are the key three for prokaryotes.",
2002,"📌 參考答案 (Answer Key)
2. C

📌 詳細解釋 (第2題 | Detailed Explanation Q2)
(1) 溶液 P 的溶質可穿過透析管。
❌ 錯誤。燒杯中的溶液沒有變藍，表示透析管內的溶液 P 的溶質沒有進入外面的燒杯中。
❌ Incorrect. The solution in the beaker did not turn blue, meaning the solute from solution P inside the dialysis tubing did not enter the beaker solution.

(2) 溶液 Q 的溶質可穿過透析管。
✅ 正確。燒杯中沒有變藍，但透析管內的溶液變藍，顯示燒杯內溶液 Q 的溶質通過透析管，並與透析管內的溶液 P 發生反應。
✅ Correct. The beaker solution did not turn blue, but the dialysis tubing did, which shows that the solute from solution Q in the beaker passed through the tubing and reacted with solution P inside.

(3) 水淨移動到透析管內。
✅ 正確。毛細管液面上升，表示透析管內的體積增加，這只能由水分子透過滲透作用移入透析管所造成。
✅ Correct. The liquid level in the capillary tube rose, indicating an increase in volume inside the tubing, which could only happen because water molecules entered by osmosis.

📌 考試提醒 Exam Tips
記得觀察「哪一邊」顏色有變化，以判斷溶質能否通過透析管。
Remember to observe where the color change occurs to decide which solute can pass through the dialysis tubing.

若外面沒有變色，代表透析管內的溶質不能透過。
If the outside solution does not change color, the solute inside the tubing cannot pass through.

液面上升代表水分子進入透析管，這就是滲透作用的證據。
A rise in liquid level indicates that water molecules entered the tubing, showing evidence of osmosis.

考試時要區分「溶質不能通過」與「水能通過」，兩個意義不同。
In exams, distinguish between “solute cannot pass” and “water can pass,” as they mean different things.",
2003,"📌 參考答案 (Answer Key)
3. C

📌 詳細解釋 (中英對照 | Detailed Explanation)
在原本的設置中，水淨移動到透析管內，表示溶液 Q 的水勢較高於溶液 P 的水勢。
In the original setup, net water movement into the dialysis tubing shows that solution Q has a higher water potential than solution P.

水將持續移入，直到透析管內的水勢與燒杯溶液 Q 的水勢變得相等。
Water will keep moving in until the water potential inside the tubing equals that in solution Q.

因此，在長時間後，毛細管的液面會上升到某個穩定水平，然後不再上升。
Therefore, after a longer period, the liquid level in the capillary tube will rise to a stable level and then remain constant.

📌 考試提醒 Exam Tips
當考題強調「長時間後」要記住是達到平衡狀態，而不是持續上升。
When a question emphasizes “after a long time,” remember it means equilibrium is reached, not continuous rising.

水勢差是滲透方向的關鍵，水會由高水勢流向低水勢。
Water potential difference determines the direction of osmosis — water moves from higher to lower potential.

液面穩定並不代表沒有水分子運動，而是淨移動為零。
A stable liquid level doesn’t mean no movement at all, but that net movement is zero.",
2004,"📌參考答案 (Answer Key)
4. A

📌詳細解釋 (中英對照 | Detailed Explanation)
A：「它涉及糖酵解」是正確的。肌肉缺氧呼吸會進行糖酵解，並最終生成乳酸。
A: “It involves glycolysis” is correct. Anaerobic respiration in muscles includes glycolysis, ending with lactic acid production.

B：「它產生乳酸和二氧化碳」是錯誤的。缺氧呼吸只會產生 ATP 和乳酸，不會產生二氧化碳（乳酸分解時才會釋放氧氣）。
B: “It produces lactic acid and carbon dioxide” is wrong. Anaerobic respiration only produces ATP and lactic acid, not carbon dioxide (CO₂ is released when lactic acid is broken down later).

C/D：「它在粒線體進行」是錯的。糖酵解和乳酸發酵都在細胞質內進行，不需要線粒體。
C/D: “It takes place in mitochondria” is wrong. Both glycolysis and lactic acid fermentation occur in the cytoplasm, without involving mitochondria.

📌 考試提醒 Exam Tips
缺氧呼吸（動物肌肉）＝ 糖酵解 + 乳酸發酵。
Anaerobic respiration (in animal muscles) = glycolysis + lactic acid fermentation.

二氧化碳只在酵母等酒精發酵才會產生，而不是乳酸發酵。
Carbon dioxide is produced in alcoholic fermentation (e.g. yeast), not in lactic acid fermentation.

地點要記清楚：在細胞質 (cytoplasm)，不是線粒體。
Remember the location: it happens in the cytoplasm, not in mitochondria.",
2005,"📌 參考答案
B. 糖酵解 → ATP
B. Glycolysis → ATP

📌 詳細解釋 (Detailed Explanation)

1️⃣ 糖酵解 (Glycolysis)

位置：細胞質
Location: Cytoplasm

主要產物：丙酮酸 (Pyruvate)、NADH、ATP（少量）
Main products: Pyruvate, NADH, ATP (small amount)

👉 所以糖酵解確實會生成 ATP。
👉 Therefore, glycolysis indeed produces ATP.

2️⃣ 連接反應 (Link Reaction)
丙酮酸進入線粒體後，轉化為 乙醯輔酶 A，這一步不屬於糖酵解。
After pyruvate enters the mitochondrion, it is converted into Acetyl‑CoA; this step is not part of glycolysis.

3️⃣ 克雷伯氏循環 (Krebs Cycle / Citric Acid Cycle)
生成：CO₂、NADH、FADH₂、ATP (少量)。
Produces: CO₂, NADH, FADH₂, ATP (small amount).

👉 NAD 是在電子傳遞鏈中再生的，不是在克雷伯氏循環中「直接產生」。
👉 NAD itself is regenerated in the electron transport chain, not directly produced by the Krebs cycle.

4️⃣ 錯誤選項檢視

A: 糖酵解不會直接產生乙醯輔酶 A ❌
C: 克雷伯氏循環產生的是 NADH，而不是 NAD ❌
D: 丙酮酸鹽來自糖酵解，不是克雷伯氏循環 ❌
📌 考試提醒 (Exam Tips)

糖酵解：✔ 丙酮酸 + NADH + ATP（2 ATP）
Glycolysis: ✔ Pyruvate + NADH + ATP (2 ATP)

連接反應：✔ 乙醯輔酶 A + NADH
Link Reaction: ✔ Acetyl‑CoA + NADH

克雷伯氏循環：✔ CO₂ + NADH + FADH₂ + ATP
Krebs Cycle: ✔ CO₂ + NADH + FADH₂ + ATP

電子傳遞鏈：✔ ATP (最多) + H₂O
Electron Transport Chain: ✔ ATP (largest amount) + H₂O",
2006,"📌 參考答案 (Answer Key)
6. B

📌 詳細解釋 (中英對照 | Detailed Explanation)

自變量的定義：在實驗中被操控改變，以測試其對依變量影響的量。
Definition of independent variable: a factor deliberately changed in an experiment to test its effect on the dependent variable.

在這個實驗裡，研究者改變了三個條件：
In this experiment, the researcher changed three conditions:

活組織的種類 (type of tissue)
溫度 (temperature)
pH 值 (pH value)
因此，自變量共有 3 個，答案是 B。
Therefore, there are 3 independent variables, so the answer is B.

📌 考試提醒 Exam Tips

記得：自變量是「人為改變」的量，不是反應結果。
Remember: independent variables are those changed by the experimenter, not the outcomes.

常見自變量：pH、溫度、物種/組織種類、濃度。
Common independent variables: pH, temperature, species/tissue type, concentration.",
2007,"📌 參考答案 (Answer Key)
7. D

📌 詳細解釋 (中英對照 | Detailed Explanation)

這個實驗的目標是比較不同條件下過氧化氫酶的活性，而影響反應速率最主要的因素是「與底物接觸的酵素分子數量」。
The goal of this experiment is to compare catalase activity under different conditions, and the main factor affecting reaction rate is the number of enzyme molecules in contact with substrate.

A（質量）錯誤：相同質量的組織內含水量可能不同，不能確保過氧化氫酶含量相同。
A (mass) is wrong: tissues with the same mass may contain different amounts of water, so enzyme content may differ.

B（形狀）錯誤：形狀不同（球體、立方體）不會影響到酵素數量。
B (shape) is wrong: different shapes (spherical, cubic) do not necessarily affect enzyme amount.

C（體積）錯誤：較大體積未必代表有較多酵素，因為酵素分布可能不平均。
C (volume) is wrong: larger volume does not necessarily mean more enzymes, since distribution can be uneven.

D（表面面積）正確：表面面積大小決定有多少酵素能直接接觸過氧化氫，從而影響反應速率，是最需要控制的變量。
D (surface area) is correct: surface area determines how many enzyme molecules are exposed to hydrogen peroxide, thus affecting reaction rate, making it the most important controlled variable.

📌 考試提醒 Exam Tips

「控制變量」題常考組織的 表面面積，因為它直接影響反應速率。
In questions about controlled variables, surface area is often the key, as it directly affects reaction rate.

同質量 ≠ 同酵素量，需要小心判斷。
Same mass ≠ same enzyme amount, be careful with such traps.

認住關鍵字：「公平比較 (fair comparison) → 控制表面面積」。
Remember the keyword: “fair comparison → control surface area.”",
2008,"📌 參考答案
D. (1)、(2) 和 (3)

📌 詳細解釋 (Detailed Explanation)

1️⃣ 選項 (1) 正確
酵素的活性部位在產物釋放後仍然存在，可以再次與底物結合 → 酵素具有「重複使用」的特性。
The enzyme’s active site remains after the product is released and can bind new substrate → enzymes are reusable.

2️⃣ 選項 (2) 正確
酵素活性部位是底物連接的位置，符合「鎖與鑰」或「誘導契合」理論。
The active site of the enzyme is where the substrate binds, consistent with the “lock-and-key” or “induced fit” model.

3️⃣ 選項 (3) 正確
活性部位的三維形狀由酵素的 氨基酸序列（蛋白質的一級結構）所決定。
The 3D shape of the active site is determined by the amino acid sequence (primary structure) of the enzyme.

極端溫度或 pH 值改變氫鍵 → 導致酵素構形改變（變性）。
Extreme temperature or pH alters hydrogen bonds → leads to enzyme conformational change (denaturation).

📌 考試提醒 (Exam Tips)

酵素活性部位 可重複使用，屬於催化劑特徵。
The enzyme active site is reusable, a feature of catalysts.

結合部位：活性部位 = 底物結合點。
Binding site: Active site = substrate binding site.

活性取決於 蛋白質結構（氨基酸序列→摺疊→形狀）。
Activity depends on protein structure (amino acid sequence → folding → shape).

極端環境 → 打斷化學鍵 → 失活 / 變性。
Extreme conditions → disrupt chemical bonds → inactivation / denaturation.",
2009,"📌 參考答案
D. (1)、(2) 和 (3)

📌 詳細解釋 (Detailed Explanation)

1️⃣ 細胞器 P
圖中 P 顯示的是 粗糙內質網 (Rough Endoplasmic Reticulum, RER)。
The organelle P in the diagram is the rough endoplasmic reticulum (RER).

其表面附有核糖體，功能是合成 分泌性蛋白質與膜蛋白。
It has ribosomes on its surface and functions in synthesizing secretory proteins and membrane proteins.

2️⃣ 選項 (1) 澱粉酶 (Amylase)
澱粉酶是消化酶，屬於蛋白質性質 → 由腺體外分泌，因此在粗糙內質網合成。
Amylase is a digestive enzyme, protein in nature, secreted by exocrine glands → synthesized in the RER.

3️⃣ 選項 (2) 胰島素 (Insulin)
胰島素是肽類激素，也是蛋白質性質 → 由胰臟的內分泌細胞合成，同樣需要粗糙內質網。
Insulin is a peptide hormone, also protein in nature → produced by endocrine cells in the pancreas, also synthesized in the RER.

4️⃣ 選項 (3) 脂肪酶 (Lipase)
脂肪酶也是消化酶，屬於蛋白質性質 → 由腺體分泌，製造地點在粗糙內質網。
Lipase is also a digestive enzyme, protein in nature → secreted by glands, synthesized in the RER.

📌 結論
澱粉酶 ✅、胰島素 ✅、脂肪酶 ✅ 都是蛋白質，
必須在 粗糙內質網 合成，答案是 D。
Amylase ✅, Insulin ✅, and Lipase ✅ are all proteins,
must be synthesized in the RER, so the answer is D.

📌 考試提醒 (Exam Tips)

粗糙內質網 (RER) → 合成 蛋白質（分泌性 / 膜蛋白）
RER → synthesizes proteins (secretory / membrane proteins)

平滑內質網 (SER) → 合成 脂質、類固醇激素
SER → synthesizes lipids, steroid hormones

類似題目容易考：
👉 胰島素 = 粗糙內質網（蛋白質激素）
👉 類固醇激素 = 平滑內質網（脂質衍生物）
",
2010,"📌 參考答案
B. 只有 (1) 和 (3)

📌 詳細解釋 (Detailed Explanation)

1️⃣ 選項 (1) 正確
當我們吞嚥時，喉會上升，會厭蓋蓋住氣管口，防止食物進入氣管。
When we swallow, the larynx moves upward and the epiglottis closes the opening of the trachea, preventing food from entering the airway.

👉 因此暫時無法呼氣 / 發聲。
👉 Therefore, exhalation and phonation are temporarily blocked.

2️⃣ 選項 (2) 錯誤
題目說吞嚥是反射動作、說話是隨意動作 → 所以不能同時發生。
The statement says swallowing is reflex, speaking is voluntary → therefore they cannot occur simultaneously.

但事實是 反射與隨意動作能同時進行（例如眨眼〈反射〉同時說話〈隨意〉）。
But in reality, reflex and voluntary actions can occur simultaneously (e.g. blinking reflex while speaking voluntarily).

👉 所以 ② 不正確。
👉 Hence, (2) is incorrect.

3️⃣ 選項 (3) 正確
發聲需要空氣通過喉部並振動聲帶。
Producing sound requires air to pass through the larynx and vibrate the vocal cords.

吞嚥時氣流被阻斷，聲音無法發出。
During swallowing, airflow is blocked, so speech cannot be produced.

📌 結論 (Conclusion)
正確的解釋是 (1) + (3) → 答案 B。
The correct explanation is (1) + (3) → Answer: B.

📌 考試提醒 (Exam Tips)

吞嚥：反射動作，會厭蓋住氣管口，食物走食道。
Swallowing: reflex action, epiglottis closes trachea opening, food enters esophagus.

發聲 / 說話：需要氣流通過喉部聲帶。
Speaking / Phonation: requires airflow through larynx and vocal cords.

所以「不能同時吞嚥與說話」的真正原因是：吞嚥時氣管口被封閉，氣流無法經過喉部→無法發聲。
Therefore, the real reason why swallowing and speaking cannot occur simultaneously is: during swallowing, the trachea is closed, airflow cannot pass the larynx → no sound production.",
