編號,答案,類近題目
1901,"📌 參考答案
✅ 答案：B — Q

📖 詳細解釋 (Detailed Explanation)
P 是葉綠體雙層膜，負責維持細胞器完整。
P is the double membrane of the chloroplast, responsible for maintaining the organelle’s structural integrity.

Q 是類囊體（thylakoid），葉綠素（chlorophyll）附著於其膜上，負責吸收光能進行光合作用的光反應階段。
Q represents the thylakoid, whose membrane contains chlorophyll molecules responsible for absorbing light energy during the light-dependent stage of photosynthesis.

R 是葉綠體基質（stroma），當中含有酵素，為卡爾文循環（Calvin Cycle）的進行場所，用以固定二氧化碳。
R is the stroma, which contains enzymes for the Calvin Cycle, where carbon dioxide is fixed into organic molecules.

S 是澱粉粒（starch grain），是光合作用後期儲存能量的主要形式。
S is a starch grain, which stores the end products of photosynthesis, mainly starch for later energy use.

因此，在光合作用的光反應過程中，吸收光的主要結構是 Q — 類囊體膜。
Therefore, during the light reaction of photosynthesis, the main structure responsible for absorbing light energy is Q — the thylakoid membrane.

💡 考試提醒 (Exam Tips)
1️⃣ 認識葉綠體主要結構的功能：外膜、內膜、類囊體、基質。
Know the main structures and their functions in a chloroplast: outer membrane, inner membrane, thylakoid, and stroma.

2️⃣ 光反應與暗反應發生位置不同： 光反應於類囊體膜上進行，暗反應（卡爾文循環）於基質中進行。
Remember that the light‑dependent reactions occur on the thylakoid membranes, while the light‑independent reactions (Calvin Cycle) occur in the stroma.

3️⃣ 澱粉粒的出現代表葉綠體活躍進行光合作用。
The presence of starch grains indicates active photosynthesis.

4️⃣ 若題目問「吸收光能的部位」或「含葉綠素的結構」，關鍵字即為「類囊體膜」。
If the question asks for the structure absorbing light energy or containing chlorophyll, the keyword to recall is thylakoid membrane.

✅ 總結 (Summary)
吸收光能的結構是類囊體（Q）。
The structure that absorbs light during photosynthesis is the thylakoid (Q).",
1902,"📌 參考答案 
✅ 答案：D — R 產生的葡萄糖
Answer: D — Glucose produced in region R

📖 詳細解釋 (Detailed Explanation)
題目指出提供放射性標記氧的二氧化碳給植物細胞進行光合作用。
The question states that radioactive oxygen-labelled carbon dioxide is supplied to plant cells for photosynthesis.

在光合作用過程中，氧氣不是由二氧化碳產生，而是由水分子的光解（水的分解）釋放出來。
In photosynthesis, oxygen gas is not produced from carbon dioxide but from the photolysis of water molecules.

因此，任何在 Q（類囊體）中產生的氧氣都不會含有放射性。
Therefore, any oxygen produced in Q (thylakoids) will not contain radioactivity.

相反，二氧化碳中的碳會在卡爾文循環中被固定到碳水化合物，如葡萄糖中。
In contrast, the carbon from carbon dioxide is fixed into carbohydrates such as glucose during the Calvin cycle.

卡爾文循環發生在葉綠體的基質（R），因此最終在該處形成的葡萄糖會帶有放射性標記。
The Calvin cycle occurs in the stroma (R) of the chloroplast, so the glucose produced there will carry the radioactive label.

結論：放射性應出現在 R 產生的葡萄糖中。
Conclusion: The radioactivity will be detected in the glucose produced in region R.

💡 考試提醒 (Exam Tips)
1️⃣ 必須分清光反應與暗反應的地點與產物。
Always distinguish between light reactions (in thylakoid membranes) and light-independent reactions (Calvin Cycle) (in stroma).

光反應：在類囊體膜上進行，產生 ATP、NADPH 和 O₂（來自 H₂O）。
Light reactions: Occur on thylakoid membranes, producing ATP, NADPH, and O₂ (from water).

暗反應：在基質中進行，利用 ATP 和 NADPH 固定 CO₂ 形成葡萄糖。
Dark reactions: Occur in the stroma, using ATP and NADPH to fix CO₂ into glucose.

2️⃣ 若題目談「放射性二氧化碳」，放射性碳必定出現在糖或有機分子中，而非氧氣。
If radioactive carbon dioxide is used, the radioactive carbon will appear in sugars or organic molecules, not in oxygen gas.

3️⃣ 類囊體（Q）與基質（R）的功能常是 DSE 常考的對比題。要記：Q 吸光造能量；R 用能生糖。
Functions of thylakoids (Q) and stroma (R) are frequently tested opposites. Remember: Q — absorbs light to make energy; R — uses energy to make sugar.

✅ 總結 (Summary)
放射性被偵測於 R 產生的葡萄糖中，因為卡爾文循環於基質中利用二氧化碳合成糖。
Radioactivity is detected in glucose produced in R, as the Calvin cycle in the stroma fixes CO₂ to form sugars.",
1903,"📌 參考答案 (Reference Answer)
✅ 答案：B — 只有 (2)
Answer: B — Only (2)

📖 詳細解釋 (Detailed Explanation)
(1) 氧化磷酸化作用
在此階段（mitochondrial inner membrane），電子傳遞鏈傳遞電子以產生 ATP 和 水。
In this stage (on the mitochondrial inner membrane), the electron transport chain transfers electrons to produce ATP and water.

過程中並未釋放 CO₂，因為所有碳元素早在之前階段已被氧化。
No CO₂ is released because all carbon atoms have already been oxidized in earlier stages.

(2) 克雷伯氏循環（Krebs Cycle）
在此過程中，乙酰輔酶 A (2 C) 與 4 C 化合物結合成 6 C 化合物；
In this process, acetyl‑CoA (2 C) combines with a 4‑carbon compound to form a 6‑carbon compound.

隨後經兩次脫羧反應產生 CO₂ 並移除兩個碳原子。
It then undergoes two decarboxylation reactions, releasing CO₂ and removing two carbon atoms.

因此，Krebs 循環是細胞呼吸過程中釋放 CO₂ 的主要階段。
Therefore, the Krebs Cycle is the main stage in cellular respiration where CO₂ is released.

(3) 葡萄糖轉化為丙酮酸鹽（糖酵解 Glycolysis）
此過程發生於細胞質中，將 glucose (6 C) 轉化為 pyruvate (3 C)。
This process occurs in the cytoplasm, converting glucose (6 C) into pyruvate (3 C).

全程沒有碳損失，因此不會釋放 CO₂。
No carbon atoms are lost, so no CO₂ is released.

💡 考試提醒 (Exam Tips)
1️⃣ 記住哪個階段釋放 CO₂： 只在克雷伯氏循環（Krebs Cycle）和連接反應（Link reaction – 丙酮酸→乙酰輔酶 A）中釋放。
Remember: CO₂ is released only in the Krebs Cycle and the link reaction (pyruvate → acetyl‑CoA).

2️⃣ 氧化磷酸化產生 ATP 與 H₂O，並不產生 CO₂。
Oxidative phosphorylation yields ATP and H₂O, but not CO₂.

3️⃣ 糖酵解不需氧，發生於細胞質，不釋放 CO₂。
Glycolysis occurs in the cytoplasm without O₂ and releases no CO₂.

4️⃣ 若題目問「二氧化碳釋放」關鍵字 → 想起 Krebs Cycle 或 Link reaction。
If the question mentions “release of CO₂,” the key words to recall are Krebs Cycle or Link reaction.
",
1904,"📘參考答案 ：B

🧩詳細解釋 Detailed Explanation
在卡爾文循環中，5-C 複合物（即二氧化碳受體，RuBP）會與 CO₂ 結合形成兩個 3-C 複合物。
In the Calvin cycle, the 5-carbon compound (RuBP, the CO₂ acceptor) combines with CO₂ to form two 3-carbon compounds.

選項 A：正確。5-C 複合物可轉化為 3-C 複合物，這步驟只涉及酶作用，與光無關，因此在黑暗中仍可發生。
Option A: Correct. The 5-C compound can convert into a 3-C compound through enzymatic catalysis, independent of light, so it can still occur in the dark.

選項 B：錯誤。5-C 複合物不會直接與 CO₂ 生成葡萄糖，而是先生成 3-C 複合物，再經 NADPH 還原形成碳水化合物。
Option B: Incorrect. The 5-C compound does not directly combine with CO₂ to form glucose; it first forms two 3-C compounds, which are then reduced by NADPH to form carbohydrates.

選項 C：正確。再生 5-C 複合物需要光化反應產生的 ATP 供能，因此在黑暗中無法再生。
Option C: Correct. Regeneration of the 5-C compound requires ATP from the light-dependent reaction, so it cannot proceed in the dark.

選項 D：正確。再生 5-C 複合物同時也依賴光反應產生的 NADPH 作還原劑，黑暗中 NADPH 無法再生，因此再生過程停止。
Option D: Correct. The regeneration also depends on NADPH from the light reaction as a reducing agent; in darkness, NADPH cannot be regenerated, so the regeneration stops.

🎯考試提醒 Exam Tips
🟢 此題常考於 光合作用的光反應與暗反應（卡爾文循環）分工。
This question commonly tests the distinction between the light-dependent and light-independent (Calvin cycle) reactions in photosynthesis.

🔹 記住：

光反應提供 ATP 和 NADPH。
The light reaction supplies ATP and NADPH.
暗反應使用這些產物來固定 CO₂ 及再生 RuBP。
The dark reaction uses them to fix CO₂ and regenerate RuBP.
⚠️ 常犯錯誤：以為 RuBP 可直接與 CO₂ 生成葡萄糖。
Common mistake: assuming RuBP directly forms glucose with CO₂ — it does not.

🔍 小提示：
當圖表中顯示 5-C 複合物濃度下降、3-C 複合物短暫上升後下降，代表光反應停止（無 ATP、NADPH 補充），卡爾文循環隨即受阻。
When the graph shows a drop in 5-C compound and a temporary rise then fall in 3-C compound, it means the light reaction has stopped (no more ATP or NADPH supplied), halting the Calvin cycle.",
1905,"📌參考答案 Reference Answer
✅ D
來自樹冠底部的葉子較大，因為它們可以收集穿越樹冠頂部的光線。
Leaves from the lower crown are larger because they can collect the light that passes through the upper crown.

📘詳細解釋 Detailed Explanation
樹冠的頂部葉子接受強烈陽光，而底部葉子則被上層遮蔭。
Leaves at the top of the crown receive intense sunlight, while those at the bottom are shaded by upper leaves.

為適應光線強度的不同，樹會在不同位置長出性狀不同的葉子。
To adapt to varying light intensity, the tree develops leaves with different characteristics at different positions.

樹冠頂部的葉子通常較小、較厚，以避免強光造成水分過度流失與光傷害。
Top-crown leaves are usually smaller and thicker to reduce water loss and avoid light damage.

相反地，樹冠底部的葉子較大、較薄，能擴大接收面積以吸取較弱的光線進行光合作用。
Conversely, lower-crown leaves are larger and thinner to increase surface area for capturing weaker light for photosynthesis.

因此，底部葉子較大的主要原因並非儲存食物，而是為了更有效地吸收光能。
Therefore, the main reason lower leaves are larger is not for storing food, but to absorb light more effectively.

🧠考試提醒 Exam Tips
🌿 葉子形態的差異是植物對環境光照適應的結果。
Leaf size and shape differences are adaptations to varying light conditions in the environment.

☀️ 上層葉：高光區 → 小而厚，防止水分流失
Upper leaves: high-light zones → small and thick to prevent water loss.

🌤 下層葉：弱光區 → 大而薄，提高光能吸收
Lower leaves: low-light zones → large and thin to increase light absorption.

❌ 常見誤區：
錯誤以為葉子變小是因為缺水或為了儲存更多食物。
A common mistake is assuming leaves are smaller due to water shortage or larger to store more food.

✅ 記住要點：
葉子大小的差別是由光照強度差異造成的形態適應。
Key point: Leaf size differences arise from morphological adaptation to light intensity differences.",
1906,"📘參考答案 Answer
答案：A

🧩詳細解釋 Detailed Explanation
碘液測試可用來檢驗澱粉，陽性反應時，碘液會由棕色變成藍黑色。
The iodine test is used to detect starch; a positive result is shown by a colour change from brown to blue-black.

光合作用只有在同時具備二氧化碳、光線和葉綠素時，才會進行。
Photosynthesis occurs only when carbon dioxide, light, and chlorophyll are all present.

在本題裝置中，葉子被分成三個區域來測試三種條件。
In this setup, the leaf is divided into three areas to test three different conditions.

1️⃣ 被玻璃瓶罩住的部分，雖有光但二氧化碳被吸收劑移除，無法進行光合作用。
The part enclosed in the glass bottle receives light but has no CO₂ due to the absorber; thus, photosynthesis cannot occur.

2️⃣ 被木塞遮蓋的部分無法接收光線，因此也不能進行光合作用。
The part covered by the cork block receives no light, so photosynthesis also stops there.

3️⃣ 沒被木塞遮蓋、也沒被玻璃瓶封住的綠色部分擁有光、CO₂及葉綠素，能合成葡萄糖並轉化為澱粉。
The uncovered green part outside the bottle has light, CO₂, and chlorophyll, allowing it to produce glucose and convert it into starch.

4️⃣ 黃色部分缺乏葉綠素，即使條件合適，也無法進行光合作用。
The yellow part lacks chlorophyll and therefore cannot photosynthesize even under suitable conditions.

因此，只有暴露在陽光下且為綠色的葉片部分會呈藍黑色，其餘部分保持棕色。
Hence, only the exposed green region turns blue-black, while all other parts remain brown.

🎯考試提醒 Exam Tips
🟢 澱粉測試是檢驗光合作用產物，而非直接測光合作用速率。
The starch test verifies the products of photosynthesis, not the rate of photosynthesis itself.

🔹 記住光合作用三個必要條件：
Remember the three essential factors for photosynthesis:

光線 —— 提供能量。
Light — provides energy.
二氧化碳 —— 為碳源。
Carbon dioxide — provides the carbon source.
葉綠素 —— 捕捉光能。
Chlorophyll — captures light energy.
⚠️ 常犯錯誤：

忘記去除葉綠素（脫綠步驟），導致碘液測試不準。
Forgetting to remove chlorophyll (decolourisation step), which makes iodine test inaccurate.
以為黃色部分也會變藍黑色。
Thinking that yellow regions (without chlorophyll) can also turn blue-black — they won’t.
✅ 小技巧：
觀察結果時，只有有光、有CO₂、有葉綠素的部分會呈藍黑色。
When interpreting results, only regions with light, CO₂, and chlorophyll will turn blue-black.",
1907,"✅ 參考答案 Answer
C – 3 個獨立變項

🧩 詳細解釋 Detailed Explanation
獨立變項是指在實驗中被刻意改變或控制的因素，用以觀察其對應變項（結果）的影響。
An independent variable is a factor that is intentionally changed or controlled in an experiment to observe its effect on the dependent variable.

在這個光合作用實驗中，研究者分別改變了：
In this photosynthesis experiment, the factors that were varied include:

二氧化碳的存在與否 — 是否提供 CO₂ 做為反應原料。
Presence or absence of carbon dioxide — whether CO₂ is supplied as a reactant.

光線的存在與否 — 是否有光源提供能量給光合作用。
Presence or absence of light — whether light energy is available for photosynthesis.

葉綠素的存在與否 — 是否有葉綠素吸收光能。
Presence or absence of chlorophyll — whether chlorophyll is present to capture light energy.

因此，實驗中涉及 三個獨立變項。
Therefore, there are three independent variables involved in the experiment.

🎯 考試提醒 Exam Tips
🧠 記住定義：獨立變項 = 實驗中研究者主動改變的條件，用來測試對結果的影響。
Remember: an independent variable is one that is manipulated by the investigator to test its effect.

⚡ 常見例子：在光合作用實驗中，三個關鍵因素是

光線 (light)
二氧化碳 (carbon dioxide)
葉綠素 (chlorophyll)
📚 小提示：這三者是光合作用三大必要條件，題目若問「涉及多少個獨立變項」，大多答案就是 3。
Tip: These three are the essential requirements for photosynthesis; when asked “how many independent variables,” the answer is usually 3.",
1908,"📘參考答案 Answer
答案：A

🧩詳細解釋 Detailed Explanation
吞噬作用（Endocytosis）
需要能量使細胞膜運動、包圍並吞入物質形成囊泡。
Requires energy for the cell membrane to move and engulf materials by forming vesicles.

主動轉運（Active transport）
需要能量及載體蛋白來逆濃度梯度輸送物質。
Requires both energy and carrier proteins to move substances against their concentration gradient.

滲透作用（Osmosis）
是一種被動過程，不需能量，僅取決於水勢差（濃度梯度）。
A passive process that requires no energy, depending solely on water potential (concentration) gradient.

因此，能量輸入 → 吞噬作用；膜蛋白 → 主動轉運；濃度梯度 → 滲透作用 是正確的配對。
Therefore, the correct combination is Energy input = Endocytosis; Membrane protein = Active transport; Concentration gradient = Osmosis.

❌ 其他選項錯誤原因
選項	錯誤原因	Explanation
B	擴散是被動過程，不需能量；滲透不一定需膜蛋白。	Diffusion is passive and requires no energy; osmosis can occur without membrane proteins.
C	吞噬作用需能量，因此屬主動過程，但不依靠「濃度梯度」進行。	Endocytosis is an energy-requiring (active) process but not dependent on a concentration gradient.
D	滲透作用為被動過程，不需能量；而擴散僅在某些情況下（例如離子通道）才需膜蛋白。	Osmosis is passive and energy-free; diffusion usually doesn’t need membrane proteins except in facilitated diffusion.
🎯考試提醒 Exam Tips
🟢 記住跨膜運輸四大類：
Remember the four main membrane transport methods:

方法	                               是否需能量	是否需蛋白	方向	                 備註
擴散 Diffusion	             ✗	                     ✗	高 → 低	  被動運輸
滲透 Osmosis	                         ✗	          可有可無   水沿濃度梯度	  水分子通過半透膜
主動轉運 Active transport	 ✓	                     ✓	低 → 高	   需 ATP 驅動
吞/吐作用 Endocytosis/Exocytosis	✓	✗	不受濃度限制	膜形成囊泡包裹物質
⚠️ 小心混淆：「擴散 → 不需能量」，「主動轉運 → 需能量及蛋白」，「吞噬/吐出 → 需膜運動及能量」。
Be careful not to confuse: “Diffusion = no energy,” “Active transport = needs energy and proteins,” “Endo-/exocytosis = involves membrane movement and energy.”",
1909,"📘 參考答案
答案：B（只有 (1) 和 (3)）
Answer: B (Only (1) and (3))

📖 詳細解釋
使用較大的針筒可以收集更多體積的氧氣。
Using a larger syringe allows a greater volume of oxygen gas to be collected.

錐形瓶的體積只影響反應液的空間，不會改變產生氧氣的體積。
The size of the conical flask only affects the space for the reaction mixture and does not change the volume of oxygen produced.

減少加入的過氧化氫溶液的體積，會減少可分解的過氧化氫分子，從而減少產生的氧氣體積。
Reducing the volume of hydrogen peroxide solution means fewer substrate molecules are available for decomposition, thus less oxygen is produced.

換句話說，若初步實驗氧氣量過多超出收集限制，應增加收集裝置容量或減少底物用量。
In other words, if the initial experiment produces more oxygen than can be collected, increase the collection device’s capacity or reduce the amount of substrate used.

🧠 考試提醒
✅ 若題目涉及「氣體收集量超出量度器具容量」，首先要確定如何擴大收集容量或降低產氣量。
✅ When the question mentions gas volume exceeding collection capacity, think of either increasing the collection capacity or reducing gas production.

⚠️ 注意分辨「限制反應物」與「非限制反應物」：此題反應中，過氧化氫是底物，酶量固定，因此調整底物量可控制氣體生成。
⚠️ Distinguish between the limiting reactant and non-limiting reactant: here, hydrogen peroxide is the substrate while enzyme concentration is fixed, so altering substrate amount controls gas output.

❌ 改變錐形瓶大小不會影響反應中產生的氣體體積，只影響實驗裝置外觀，故非有效方法。
❌ Changing the size of the conical flask does not affect the gas volume produced; it only alters apparatus space, so it is not an effective modification.

總結 / Summary:
應使用更大的針筒以容納更多氧氣，並減少過氧化氫溶液體積，以防氧氣產量超出收集極限。
A larger syringe should be used to collect more oxygen, and the volume of hydrogen peroxide solution reduced to avoid exceeding the syringe’s collection limit.",
1910,"📌參考答案 

✅ A – 
0 至 W 時段 (0–W interval)
最能反映不同溫度對產生氧氣速率的影響。
This interval best reflects the effect of temperature on the rate of oxygen production.

📘詳細解釋 Detailed Explanation
改變溫度會影響過氧化氫酶的活性，從而改變反應速率。
Changing the temperature alters the activity of catalase, thereby changing the reaction rate.

在時間 0–W 之間，反應仍在進行中，氧氣體積隨時間穩定上升。
Between 0 and W, the reaction is still ongoing, and the oxygen volume increases steadily with time.

在這階段，氧氣的生成速率直接反映了酶活性，因此適合用來比較不同溫度下的效果。
During this stage, the rate of oxygen production directly reflects enzyme activity, making it suitable for comparing effects under different temperatures.

到了 X、Y 或 Z 時，所有過氧化氫底物幾乎被分解完畢，氣體體積達到恆定值。
At points X, Y, or Z, nearly all hydrogen peroxide substrates are decomposed, and gas volume reaches a plateau.

此時氧氣體積的最大值取決於原本的底物量，與酶的活性已無關，因此不宜作比較。
At this stage, the final gas volume depends only on the initial substrate amount and no longer reflects enzyme activity, so it is unsuitable for comparison.

因此，0–W 時段 是最能量度酶活性的時間範圍。
Therefore, the 0–W interval is the most appropriate period to measure enzyme activity.

🧠考試提醒 Exam Tips
🧪 酶實驗比較速率時，應選擇反應進行中的線性階段，而不是反應終點。
When comparing enzyme rates, always select the linear phase of the reaction, not the end point.

🌡 不同溫度會使酶的結構或活性中心改變。
Different temperatures can alter the enzyme’s structure or active site.

🌿 過高溫度會令酶失活；溫度太低則降低活性。
Excessive heat leads to enzyme denaturation; too low a temperature slows activity.

📈 當氧氣體積增長呈線性時（如 0–W），可準確比較不同條件下反應速率。
When the oxygen volume increases linearly (as in 0–W), it allows accurate comparison of reaction rates under different conditions.

⚠️ 常見錯誤：選擇 X–Z 時段，因為這時反應已停止，體積不再增加，無法反映速率。
Common mistake: choosing X–Z, since reaction has stopped and gas volume no longer changes, making rate comparison meaningless.",
