編號,答案,類近題目
1801,"📌 參考答案 (Answer Key)
1. D

📌 詳細解釋 (中英對照 | Detailed Explanation)

A（錯誤）：肺部的氣體交換是被動擴散過程，氧氣/二氧化碳藉由分子擴散穿過細胞膜，沒有涉及附在細胞膜上的酵素。
A (wrong): Gas exchange in the lungs is passive diffusion. Oxygen/CO₂ move by molecular diffusion across membranes, not via enzymes attached to membranes.

B（錯誤）：沿著木質導管的水分運輸是蒸騰拉力所推動的物理過程，不涉及酵素。
B (wrong): Water transport in xylem vessels is driven by transpiration pull, a physical process that does not involve enzymes.

C（錯誤）：卡爾文循環發生在葉綠體基質（stroma），不是細胞膜。
C (wrong): The Calvin cycle occurs in the stroma of chloroplasts, not in cell membranes.

D（正確）：小腸的酵素（如二糖酶、肽酶）位於上皮細胞頂端表面（細胞膜上的刷狀緣），因此正確。
D (correct): Enzymes in the small intestine (e.g., disaccharidases, peptidases) are located on the brush border of epithelial cell membranes, making this correct.

📌 考試提醒 Exam Tips

刷狀緣（brush border）＝ 小腸上皮細胞膜上的酵素 → 常考點。
Brush border = enzymes on epithelial cell membranes of small intestine → very exam‑relevant.

卡爾文循環要記得是在 葉綠體基質 (stroma)，不是在膜。
Remember Calvin cycle occurs in the stroma of chloroplasts, not on membranes.

氣體交換、木質部水分運輸 → 物理過程，不涉及膜酵素。
Gas exchange and xylem water transport = physical processes, not involving membrane enzymes.",
1802,"📌 參考答案 (Answer Key)
2. C

📌 詳細解釋 (中英對照 | Detailed Explanation)

觀察 (observation)：指能夠直接在實驗過程中看到或量度到的現象。
Observation: refers to phenomena that can be directly seen or measured during the experiment.

A（錯誤）：「這些組織含過氧化氫酶」是根據氣泡的出現所作的推論，不是直接觀察。
A (wrong): “These tissues contain catalase” is an inference from bubbles, not a direct observation.

B（錯誤）：「反應釋出氧氣」屬於解釋，也是不能直接看見的。
B (wrong): “The reaction releases oxygen” is an interpretation, not directly observable.

C（正確）：「釋出的氣體使有餘燼的木條重燃」正如表格顯示，是實驗的直接觀察結果。
C (correct): “The released gas relights a glowing splint” matches the table and is a direct observation.

D（錯誤）：「動物組織較植物組織有更多過氧化氫酶」是結論，不是觀察。
D (wrong): “Animal tissues contain more catalase than plant tissues” is a conclusion, not an observation.

📌 考試提醒 Exam Tips

「觀察」＝ 直接看到/測到，例如：冒泡、木條重燃、顏色改變。
“Observation” = directly seen/measured phenomena, e.g., bubble formation, glowing splint relit, color change.

「推論／解釋」＝ 根據觀察結果歸納，例如：存在酵素、產生氧氣。
“Inference/Explanation” = deduced from observation, e.g., presence of enzymes, oxygen produced.

出題陷阱：觀察 vs 推論 → 考試要分得清楚。
Exam trap: distinguish carefully between observation and inference.",
1803,"📌 參考答案 (Answer Key)
3. B

📌 詳細解釋 (中英對照 | Detailed Explanation)

題目：當氣泡釋出停止時，再加入更多過氧化氫溶液，預期的結果？

A（錯誤）：解釋是「專一性」，但此情況並非底物錯誤，而是底物不足。
A (wrong): The explanation is “specificity,” but in this case the problem is not the wrong substrate, but substrate depletion.

B（正確）：仍會有氣泡釋出，因為酶在反應後不會被消耗，仍保持活性。這正好表明「酵素可重複使用」。
B (correct): Bubbles will reappear, since the enzyme is not consumed in the reaction and retains its activity. This shows “enzymes are reusable.”

C（錯誤）：沒有氣泡的解釋是,酶耗盡，這不正確，酵素在反應中不會被用完。
C (wrong): Saying no bubbles because the enzyme is used up is incorrect; enzymes are not consumed during reactions.

D（錯誤）：沒有氣泡的解釋是酶變性，但題設未涉及高溫或極端 pH 的情況，因此不成立。
D (wrong): Saying no bubbles because the enzyme denatured is invalid here, as the experiment did not involve extreme temperature or pH.

📌 考試提醒 Exam Tips

酶反應暫停 → 常見原因：底物已被消耗殆盡，而不是酶耗盡。
Enzyme reaction stops → common reason: substrate is depleted, not enzyme.

酵素的兩大特點要記清：

專一性 (specificity)
可重複使用 (reusable)
題目會利用這種「加入更多底物」的情境，考你區分「底物用完」vs「酵素被消耗」。
Questions often test whether you know the difference between “substrate used up” vs “enzyme consumed.”",
1804,"📌 參考答案 (Answer Key)
4. A

📌 詳細解釋 (中英對照 | Detailed Explanation)

題目問：如何設計對照，來證明 過氧化氫是這個反應的受質？

A（正確）：用「水＋組織」重複實驗，除了不含過氧化氫之外，其他條件相同 → 沒氣泡生成，證明受質是過氧化氫。
A (correct): Use “water + tissue” as control. All conditions same except no hydrogen peroxide → no bubbles → proves hydrogen peroxide is the substrate.

B（錯誤）：水＋煮沸的組織 → 測試的是酶有否失活，不是驗證受質。
B (wrong): Water + boiled tissue tests enzyme denaturation, not the substrate.

C（錯誤）：只有過氧化氫，不加組織 → 測試的是是否需要酶，不是對照受質。
C (wrong): Hydrogen peroxide without tissue checks if enzyme is needed, not to prove the substrate.

D（錯誤）：過氧化氫＋煮沸組織 → 這是檢驗酶活性，不是驗證受質。
D (wrong): Hydrogen peroxide + boiled tissue shows enzyme activity loss, not substrate verification.

📌 考試提醒 Exam Tips

對照實驗：應只改變「唯一的自變量」（在這裡是是否有過氧化氫）。
Control experiment: Only the independent variable should differ (here, presence/absence of H₂O₂).

常見對照：

驗證受質 → 去掉受質 (H₂O₂ → 水)
驗證酶 → 煮沸組織 (失活對照)
考試陷阱：不要把「檢驗酶活性」跟「檢驗受質」混淆。
Exam trap: don’t confuse “testing enzyme activity” vs “testing substrate necessity.”",
1805,"📌 參考答案 (Answer Key)
5. D

📌 詳細解釋 (中英對照 | Detailed Explanation)

題目圖中顯示：

數目金字塔 → 生产者個體數量比初級消費者更少。
Numerical pyramid → producers are fewer than primary consumers.
生物量金字塔 → 生產者的總生物量也比初級消費者更小。
Biomass pyramid → producers have less biomass than primary consumers.
這種情況表示：
生產者必須有 極高的繁殖率，才能快速補償被大量消費所造成的損失。
This means producers must have a very high reproduction rate to quickly replace losses from heavy consumption.

浮游植物 (D) → 繁殖週期短，繁殖率高，非常符合題中情境。
Phytoplankton (D): short reproductive cycle, high reproduction rate → exactly matches the scenario.

A 水稻、B 樹、C 草 → 這些生產者都屬於相對大型、繁殖速度慢的植物，不可能在被持續捕食後仍能快速補充數量。
A rice, B trees, C grass: larger producers with slower reproduction rates, cannot rapidly replenish population after loss.

📌 考試提醒 Exam Tips

數目金字塔倒轉或不對稱 → 常見原因：生產者為「繁殖速度快，小型生物」如浮游植物。
Inverted/asymmetric number pyramids → often happen when producers are “small, fast-reproducing organisms” like phytoplankton.

記住：生產者「個體少 but 總產量高」，代表它們繁殖迅速。
Remember: Producers with “few individuals but high total productivity” = reproduce very fast.

浮游植物 (plankton) 幾乎是這類題目的標準答案。
Phytoplankton is almost always the expected answer in such food pyramid questions.
",
1806,"📌 參考答案 (Answer Key)
6. D

📌 詳細解釋 (中英對照 | Detailed Explanation)

題目問：為何保護野生鯊魚對海洋生態平衡重要？

A（錯誤）：鯊魚是否「瀕危物種」只是保護的理由之一，不能解釋牠們在生態系統平衡中的角色。
A (wrong): Whether sharks are endangered is a reason for conservation, but not an explanation of their ecological role in balance.

B（錯誤）：魚翅作為菜式受歡迎是牠們減少的原因，與維持生態平衡無關。
B (wrong): Popularity of shark fin soup explains their decline, but not their importance for balance.

C（錯誤）：分解者並不僅僅依靠鯊魚屍骸，而是利用各種海洋生物遺體 → 所以不成立。
C (wrong): Decomposers feed on many organisms’ remains, not mainly on shark carcasses.

D（正確）：鯊魚是頂級捕食者，能調控其他消費者（例如小魚）的數量。若鯊魚消失，小魚數量過多會過度消耗資源，造成食物鏈失衡。
D (correct): Sharks are top predators, regulating populations of other consumers (e.g., small fish). Without them, prey populations explode, depleting resources and destabilizing the food chain.

📌 考試提醒 Exam Tips

頂級捕食者 (top predator) 在生態學題目中常被強調其「調控作用 (regulatory role)」。
Top predators are often tested for their regulatory role in ecology.

要特別注意：題目若提「生態平衡」、「維持穩定」，幾乎都和「食物鏈層次控制」有關。
If a question mentions “ecosystem balance” or “stability,” the answer usually relates to trophic level regulation.

鯊魚 = 「keystone species」典型例子。
Sharks = a typical example of a keystone species.
",
1807,"📌 參考答案 (Answer Key)
7. A

📌 詳細解釋 (中英對照 | Detailed Explanation)

圖中顯示：光線進入眼睛後聚焦在 視網膜後方 → 表示病人有 遠視 (hyperopia)。
The diagram shows light rays focusing behind the retina, indicating the eye has hyperopia (long-sightedness).

成因 (Causes)：

晶體厚度不足，折射力不夠。
或眼球前後徑太短。
Causes:
Lens too thin → insufficient refractive power.
Or eyeball length too short.
矯正 (Correction)：
配戴 凸透鏡 (convex lens)，在光線進入眼睛前將光線會聚，讓焦點移回視網膜上。
Wear a convex lens, which converges light before it enters the eye so the focus moves onto the retina.

其他選項：

B（錯）：遠視搭配凹透鏡是錯誤，凹透鏡矯正的是近視。
C / D（錯）：近視是光線聚焦在視網膜前方，而非後方。
Other options:
B (wrong): Hyperopia is not corrected with concave lenses; these are for myopia.
C / D (wrong): Myopia = focus in front of retina, not behind it.
📌 考試提醒 Exam Tips

遠視 (hyperopia) → 焦點落在視網膜 後 → 用 凸透鏡。
Hyperopia = focus behind retina → use convex lens.

近視 (myopia) → 焦點落在視網膜 前 → 用 凹透鏡。
Myopia = focus in front of retina → use concave lens.

出題套路：

圖片 → 判斷焦點位置
然後 → 判斷近視/遠視
最後 → 配對正確鏡片",
1808,"📌 參考答案 (Answer Key)
8. C

📌 詳細解釋 (中英對照 | Detailed Explanation)

(1) 錯誤：雖然氣體確實要先溶解在一層薄水膜中，但顯微照片中無法直接觀察到這一層水膜，因此不是可見的適應特徵。
(1) Wrong: Gases must dissolve in a thin water film before diffusing, but this film is not directly visible in the micrograph, so it is not listed as an observable adaptation.

(2) 正確：上皮細胞與紅血球膜之間的擴散距離非常短，有利於快速氣體交換。
(2) Correct: The diffusion distance between epithelial cells and red blood cell membranes is very short, facilitating rapid gas exchange.

(3) 正確：照片顯示大量緊密排列的紅血球，代表肺泡有豐富微血管供應，維持濃度梯度，加速氣體交換。
(3) Correct: The image shows many closely packed red blood cells, indicating a rich capillary supply that maintains steep concentration gradients, enhancing gas exchange.

➡ 因此，正確組合為 (2) 和 (3) → C。

📌 考試提醒 Exam Tips

氣體交換表面特徵：

大表面積 (large surface area)
薄膜 (thin barrier, short diffusion path)
濃度梯度 (maintained by blood supply/ventilation)
題目想考：能直接在顯微照片中看到的特徵 → 一定是 (2) 和 (3)，不能選「薄水膜」。
The question focuses on features directly visible in the micrograph → only (2) and (3), not (1)",
1809,"📌 參考答案 (Answer Key)
9. C

📌 詳細解釋 (中英對照 | Detailed Explanation)

題目問：為什麼要把單細胞生物分成 細菌域 (Bacteria) 和 古細菌域 (Archaea)？

A（錯誤）：「古細菌較細菌古老」這是進化時間先後的說法，不能作為分類依據。
A (wrong): Saying “archaea are older than bacteria” refers to evolutionary timing, not a valid taxonomic criterion.

B（錯誤）：「古細菌較細菌小」大小不能作為分類的可靠依據。
B (wrong): Size difference is not a reliable basis for classification.

C（正確）：古細菌與細菌的 DNA 序列有明顯差異，表示基因組成存在本質不同 → 分為不同域。
C (correct): Archaea and bacteria have distinct DNA sequence differences, showing fundamental genetic differences → hence classified into separate domains.

D（錯誤）：雖然在細胞壁與細胞膜成分上也有差異，但生物學上主要分類標準是 遺傳物質差異。
D (wrong): Although they differ in cell wall and membrane composition, the primary classification criterion is genetic differences.

📌 考試提醒 Exam Tips

生物分類現今依據主要是 基因 / DNA 序列差異，不是形態或大小。
Modern taxonomy relies mainly on genetic/DNA sequence differences, not morphology or size.

三域系統：細菌域 (Bacteria)、古細菌域 (Archaea)、真核生物域 (Eukarya)。
Three-domain system: Bacteria, Archaea, and Eukarya.

出題陷阱：不要被「形態大小差異」迷惑，真正關鍵是遺傳物質差異。
Exam trap: Don’t be misled by “morphology/size”; the key is genetic differences.",
1810,"📌 參考答案 (Answer Key)
10. A

📌 詳細解釋 (中英對照 | Detailed Explanation)

題目問：為何需要 每年接種流感疫苗？

A（正確）：流感病毒不斷突變，表面抗原與過去不同 → 之前建立的免疫記憶失效 → 必須更新疫苗。
A (correct): Influenza virus mutates frequently, changing its surface antigens so past immunity is ineffective, which is why vaccines must be updated annually.

B（錯誤）：疫苗帶來的免疫力能持續一段時間（長於一年），所以不是因為抗體只維持一年。
B (wrong): Immunity from vaccines lasts longer than one year; the problem is not antibody lifespan.

C（錯誤）：疫苗效用與是否使用減毒病毒無關。已減毒病毒依然能引發持久免疫反應。
C (wrong): The fact that influenza vaccines use weakened virus does not explain annual vaccination.

D（錯誤）：記憶細胞遇到相同抗原會引發免疫反應，這正確，但題目重點在「病毒變異」，所以不解釋為何要每年接種。
D (wrong): Memory cells do respond to vaccines, but the problem is viral mutation, not memory response.

📌 考試提醒 Exam Tips

流感病毒抗原快速突變 (antigenic drift) → 主因。
Influenza virus antigenic drift = main reason.

疫苗「失效」並不是因為免疫力消失，而是因為「病毒已變」。
Vaccines fail not because immunity fades, but because the virus has changed.

常考陷阱：學生容易誤選 B，以為抗體只能存在一年 → 錯！
Common trap: Students think antibodies last only one year → wrong!
",
